,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
427,11,"August 20, 2021",Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",3889
428,12,"August 22, 2021",Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",0
429,13,"August 25, 2021",Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",1872
430,14,"August 27, 2021",Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",2315
431,15,"September 17, 2021",Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",3615
432,0,"May 7, 2022",Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",6829
433,1,"May 13, 2022",Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",3289
434,2,"May 15, 2022",Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",3095
435,3,"May 17, 2022",Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",3054
436,4,"June 1, 2022",Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",4079
437,5,"June 5, 2022",Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",4119
438,6,"June 7, 2022",Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",3196
439,7,"June 12, 2022",Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",4810
440,8,"June 16, 2022",Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",4168
441,9,"June 19, 2022",Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",6859
442,10,"June 30, 2022",Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",6161
443,11,"July 12, 2022",Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",5201
444,12,"July 14, 2022",Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",9896
445,13,"July 23, 2022",Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",6926
446,14,"July 31, 2022",Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",6433
447,15,"August 2, 2022",Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",4891
448,16,"August 3, 2022",Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",5315
449,17,"August 14, 2022",Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",7561
450,18,"August 23, 2022",Chicago Sky,First Round,Barclays Center,"Brooklyn, NY",7837
4,4,"June 11, 2008",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5936
13,13,"July 27, 2008",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",8759
19,2,"June 21, 2009",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5624
26,9,"August 1, 2009",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6103
45,10,"July 25, 2010",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",7030
49,14,"August 13, 2010",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6025
53,18,"September 7, 2010",New York Liberty,Eastern Conference Finals,Philips Arena,"Atlanta, GA",9045
55,0,"June 5, 2011",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",8038
61,6,"June 30, 2011",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4423
65,10,"August 2, 2011",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4573
75,0,"May 25, 2012",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6802
82,7,"June 19, 2012",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4134
94,1,"June 7, 2013",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6173
101,8,"August 11, 2013",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4576
121,7,"June 20, 2014",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6129
128,14,"August 3, 2014",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6547
137,4,"June 21, 2015",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5805
141,8,"July 12, 2015",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6028
156,6,"June 22, 2016",New York Liberty,Regular season,Philips Arena,"Atlanta, GA",10345
173,5,"July 2, 2017",New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",3521
181,13,"August 11, 2017",New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",5158
195,10,"July 19, 2018",New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",3074
211,6,"June 30, 2019",New York Liberty,Regular season,State Farm Arena,"Atlanta, GA",4359
221,16,"September 8, 2019",New York Liberty,Regular season,State Farm Arena,"Atlanta, GA",5495
229,7,"June 26, 2021",New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",1605
230,8,"June 29, 2021",New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",1131
246,8,"June 24, 2022",New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",2697
255,17,"August 12, 2022",New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",3138
2,2,"July 9, 1997",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",8913
6,6,"July 23, 1997",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",7266
19,5,"July 15, 1998",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",10424
26,12,"August 5, 1998",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",9444
30,0,"June 12, 1999",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",8150
41,11,"July 30, 1999",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",6537
46,16,"August 27, 1999",New York Liberty,Eastern Conference Finals,Spectrum Center,"Charlotte, NC",10840
60,13,"July 28, 2000",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",7485
69,6,"July 3, 2001",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",4045
78,15,"August 11, 2001",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",11737
80,17,"August 24, 2001",New York Liberty,Eastern Conference Finals,Spectrum Center,"Charlotte, NC",12843
96,14,"August 4, 2002",New York Liberty,Regular season,Spectrum Center,"Charlotte, NC",9878
111,12,"August 7, 2003",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",6681
